subject	order	NR_R	TNT	trial	rt
2	2	1	1	1	351.8
2	2	1	1	1	266.2
2	2	1	1	1	67.9
2	2	1	1	1	NaN
2	2	1	1	1	283.1
2	2	1	1	1	411.3
2	2	1	1	1	142
2	2	1	1	1	296.4
2	2	1	1	2	286.3
2	2	1	1	2	253
2	2	1	1	2	261.2
2	2	1	1	2	252.6
2	2	1	1	2	NaN
2	2	1	1	2	383.2
2	2	1	1	2	295.3
2	2	1	1	2	209.9
2	2	1	1	3	443.7
2	2	1	1	3	84.3
2	2	1	1	3	270.6
2	2	1	1	3	226.5
2	2	1	1	3	119.5
2	2	1	1	3	42
2	2	1	1	3	172.2
2	2	1	1	3	179.3
2	2	1	1	4	317
2	2	1	1	4	191.4
2	2	1	1	4	NaN
2	2	1	1	4	210.6
2	2	1	1	4	NaN
2	2	1	1	4	127.3
2	2	1	1	4	161.7
2	2	1	1	4	247
2	2	1	1	5	142.7
2	2	1	1	5	377.2
2	2	1	1	5	314.8
2	2	1	1	5	58.2
2	2	1	1	5	188
2	2	1	1	5	NaN
2	2	1	1	5	348.5
2	2	1	1	5	246.8
2	2	1	1	6	258.5
2	2	1	1	6	260.5
2	2	1	1	6	266.5
2	2	1	1	6	481.2
2	2	1	1	6	326.6
2	2	1	1	6	252.9
2	2	1	1	6	314.7
2	2	1	1	6	81.8
2	2	1	2	1	NaN
2	2	1	2	1	177.4
2	2	1	2	1	141.3
2	2	1	2	1	183.1
2	2	1	2	1	NaN
2	2	1	2	1	182.9
2	2	1	2	1	155.5
2	2	1	2	1	131.7
2	2	1	2	2	151.1
2	2	1	2	2	188
2	2	1	2	2	NaN
2	2	1	2	2	169.7
2	2	1	2	2	149.6
2	2	1	2	2	377.9
2	2	1	2	2	225.3
2	2	1	2	2	236
2	2	1	2	3	92.8
2	2	1	2	3	NaN
2	2	1	2	3	34.2
2	2	1	2	3	148.1
2	2	1	2	3	83.4
2	2	1	2	3	NaN
2	2	1	2	3	117.5
2	2	1	2	3	301.2
2	2	1	2	4	503.4
2	2	1	2	4	88.9
2	2	1	2	4	283
2	2	1	2	4	NaN
2	2	1	2	4	12.9
2	2	1	2	4	NaN
2	2	1	2	4	50.7
2	2	1	2	4	56.5
2	2	1	2	5	NaN
2	2	1	2	5	120.2
2	2	1	2	5	NaN
2	2	1	2	5	166.7
2	2	1	2	5	257.8
2	2	1	2	5	252.4
2	2	1	2	5	495.2
2	2	1	2	5	25.1
2	2	1	2	6	163.2
2	2	1	2	6	70.8
2	2	1	2	6	187.3
2	2	1	2	6	194.5
2	2	1	2	6	218.9
2	2	1	2	6	193.1
2	2	1	2	6	169.6
2	2	1	2	6	NaN
2	2	2	1	1	348.3
2	2	2	1	1	368.3
2	2	2	1	1	483.7
