subject	order	NR_R	TNT	trial	rt
7	1	1	1	1	463.7
7	1	1	1	1	504.7
7	1	1	1	1	431.6
7	1	1	1	1	514.8
7	1	1	1	1	580.7
7	1	1	1	1	522.6
7	1	1	1	1	449.5
7	1	1	1	1	598.6
7	1	1	1	2	526.5
7	1	1	1	2	595.5
7	1	1	1	2	518.6
7	1	1	1	2	487.7
7	1	1	1	2	568.8
7	1	1	1	2	479.8
7	1	1	1	2	424.9
7	1	1	1	2	508.9
7	1	1	1	3	479.6
7	1	1	1	3	522.5
7	1	1	1	3	528.3
7	1	1	1	3	578.3
7	1	1	1	3	584.2
7	1	1	1	3	560.1
7	1	1	1	3	602
7	1	1	1	3	568
7	1	1	1	4	NaN
7	1	1	1	4	564.4
7	1	1	1	4	408.4
7	1	1	1	4	456.2
7	1	1	1	4	527.2
7	1	1	1	4	NaN
7	1	1	1	4	391.2
7	1	1	1	4	524.3
7	1	1	1	5	601.2
7	1	1	1	5	NaN
7	1	1	1	5	560.2
7	1	1	1	5	NaN
7	1	1	1	5	497
7	1	1	1	5	556.7
7	1	1	1	5	438.8
7	1	1	1	5	NaN
7	1	1	1	6	452.7
7	1	1	1	6	434.5
7	1	1	1	6	567.5
7	1	1	1	6	537.4
7	1	1	1	6	451.4
7	1	1	1	6	499.5
7	1	1	1	6	511.3
7	1	1	1	6	450.5
7	1	1	2	1	623.7
7	1	1	2	1	516.8
7	1	1	2	1	596.6
7	1	1	2	1	624.6
7	1	1	2	1	646.6
7	1	1	2	1	552.8
7	1	1	2	1	530.6
7	1	1	2	1	571.4
7	1	1	2	2	511.5
7	1	1	2	2	655.6
7	1	1	2	2	519.6
7	1	1	2	2	596.6
7	1	1	2	2	491.8
7	1	1	2	2	632.7
7	1	1	2	2	533.8
7	1	1	2	2	511.8
7	1	1	2	3	509.7
7	1	1	2	3	561.5
7	1	1	2	3	576.4
7	1	1	2	3	NaN
7	1	1	2	3	580.3
7	1	1	2	3	503
7	1	1	2	3	508
7	1	1	2	3	578.1
7	1	1	2	4	553.3
7	1	1	2	4	489.4
7	1	1	2	4	501.5
7	1	1	2	4	476.4
7	1	1	2	4	572.2
7	1	1	2	4	472.2
7	1	1	2	4	531.9
7	1	1	2	4	537.2
7	1	1	2	5	585.2
7	1	1	2	5	471.1
7	1	1	2	5	540.2
7	1	1	2	5	429.1
7	1	1	2	5	445.9
7	1	1	2	5	474.8
7	1	1	2	5	526.9
7	1	1	2	5	466.6
7	1	1	2	6	442.6
7	1	1	2	6	417.5
7	1	1	2	6	414.5
7	1	1	2	6	NaN
7	1	1	2	6	418.4
7	1	1	2	6	603.4
7	1	1	2	6	471.7
7	1	1	2	6	474.5
7	1	2	1	1	NaN
7	1	2	1	1	629.5
7	1	2	1	1	582.3
7	1	2	1	1	535.3
7	1	2	1	1	416.2
7	1	2	1	1	628.3
7	1	2	1	1	576.1
7	1	2	1	1	529.2
7	1	2	1	2	580.3
7	1	2	1	2	616
7	1	2	1	2	520.9
7	1	2	1	2	522.9
7	1	2	1	2	521.2
7	1	2	1	2	483
7	1	2	1	2	506.9
7	1	2	1	2	NaN
7	1	2	1	3	545
7	1	2	1	3	597
7	1	2	1	3	515.1
7	1	2	1	3	557
7	1	2	1	3	564.8
7	1	2	1	3	610.6
7	1	2	1	3	647.6
7	1	2	1	3	577.7
7	1	2	1	4	575.7
7	1	2	1	4	483.9
7	1	2	1	4	576.6
7	1	2	1	4	NaN
7	1	2	1	4	598.6
7	1	2	1	4	637.6
7	1	2	1	4	624.5
7	1	2	1	4	429.5
7	1	2	1	5	487.4
7	1	2	1	5	523.3
7	1	2	1	5	500.6
7	1	2	1	5	445.5
7	1	2	1	5	460.6
7	1	2	1	5	467
7	1	2	1	5	542.9
7	1	2	1	5	506
7	1	2	1	6	523
7	1	2	1	6	495
7	1	2	1	6	585
7	1	2	1	6	504.9
7	1	2	1	6	458.1
7	1	2	1	6	NaN
7	1	2	1	6	477.3
7	1	2	1	6	567.2
7	1	2	2	1	NaN
7	1	2	2	1	619.3
7	1	2	2	1	674.2
7	1	2	2	1	607
7	1	2	2	1	599.1
7	1	2	2	1	708.1
7	1	2	2	1	594.2
7	1	2	2	1	674.1
7	1	2	2	2	534
7	1	2	2	2	631.8
7	1	2	2	2	570.9
7	1	2	2	2	624
7	1	2	2	2	581.9
7	1	2	2	2	491
7	1	2	2	2	663.8
7	1	2	2	2	585.8
7	1	2	2	3	618.8
7	1	2	2	3	659
7	1	2	2	3	759.9
7	1	2	2	3	764
7	1	2	2	3	675.8
7	1	2	2	3	612.6
7	1	2	2	3	515.8
7	1	2	2	3	593.8
7	1	2	2	4	NaN
7	1	2	2	4	541.4
7	1	2	2	4	657.6
7	1	2	2	4	484.5
7	1	2	2	4	538.4
7	1	2	2	4	453.4
7	1	2	2	4	504.4
7	1	2	2	4	548.3
7	1	2	2	5	643.5
7	1	2	2	5	487.4
7	1	2	2	5	413.6
7	1	2	2	5	549.4
7	1	2	2	5	556.6
7	1	2	2	5	623.7
7	1	2	2	5	499.9
7	1	2	2	5	542
7	1	2	2	6	556
7	1	2	2	6	528
7	1	2	2	6	646
7	1	2	2	6	533.1
7	1	2	2	6	682.1
7	1	2	2	6	364.1
7	1	2	2	6	456.1
7	1	2	2	6	574.2
8	2	1	1	1	608.3
8	2	1	1	1	622.6
8	2	1	1	1	606.1
8	2	1	1	1	581
8	2	1	1	1	568.3
8	2	1	1	1	NaN
8	2	1	1	1	587.4
8	2	1	1	1	485
8	2	1	1	2	558.7
8	2	1	1	2	551.4
8	2	1	1	2	582.7
8	2	1	1	2	564.2
8	2	1	1	2	516.6
8	2	1	1	2	453
8	2	1	1	2	569.5
8	2	1	1	2	454.1
8	2	1	1	3	NaN
8	2	1	1	3	431.4
8	2	1	1	3	510.6
8	2	1	1	3	358.5
8	2	1	1	3	430.7
8	2	1	1	3	400.7
8	2	1	1	3	416.5
8	2	1	1	3	436.1
8	2	1	1	4	464.7
8	2	1	1	4	437.3
8	2	1	1	4	443.8
8	2	1	1	4	452.1
8	2	1	1	4	NaN
8	2	1	1	4	527.3
8	2	1	1	4	409.7
8	2	1	1	4	578.2
8	2	1	1	5	468.4
8	2	1	1	5	471.8
8	2	1	1	5	324.2
8	2	1	1	5	366.3
8	2	1	1	5	445.8
8	2	1	1	5	370
8	2	1	1	5	526.4
8	2	1	1	5	444.5
8	2	1	1	6	582
8	2	1	1	6	412.2
8	2	1	1	6	378.1
8	2	1	1	6	398.8
8	2	1	1	6	456.9
8	2	1	1	6	338.1
8	2	1	1	6	363.8
